type,label,url,saved_to
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=IC&ID=1408905&GUID=3F5A3FDA-61CF-40C9-8669-F53D993D7C8E,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=IC&ID=1362410&GUID=C198091C-6802-479D-951E-5FE6228B6ECF,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=IC&ID=1372286&GUID=02642A85-815A-4A23-B532-069F59443A53,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=IC&ID=1360151&GUID=8F6AC497-72AF-4F11-B7D7-710A7C747F15,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=IC&ID=1366974&GUID=D9091910-A911-4499-9848-BB04343A626D,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=IC&ID=1360150&GUID=826826B4-2B2A-4385-AC17-522BE4253061,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=IC&ID=1381610&GUID=B879EDFE-C792-4B49-BA00-68A9B4CCC038,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=IC&ID=1364812&GUID=96828D2C-F008-4E10-A3F8-72F1D812E7D8,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=IC&ID=1368883&GUID=17F72943-66F5-42E4-BAE8-09A4A7C78758,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=IC&ID=1368338&GUID=6A330486-40AB-4B99-82FD-FDEA584F9F79,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=IC&ID=1352702&GUID=FFE0D20C-E19A-44E0-9EA1-7D73E8768F83,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=IC&ID=1373498&GUID=2696F8E8-0DC5-44CC-B9AD-0B18410447A9,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=IC&ID=1372273&GUID=4DB5324E-D912-4C8B-9C20-6376451E5BFF,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=IC&ID=1362409&GUID=05C7981F-A4BF-494A-B4FC-BEC2F4ACD78B,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=IC&ID=1347765&GUID=B5CCEFC9-B380-420D-B054-1B1B11FF8809,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=IC&ID=1372106&GUID=687C8917-6393-40C5-877D-E2AE55D2BCAE,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=IC&ID=1372251&GUID=A3356920-0FC1-4464-BEE5-64F1B6E53E78,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=IC&ID=1409185&GUID=8FDC5ED0-096B-4C2B-B327-596D781CB1E0,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=IC&ID=1346942&GUID=FA927877-FABF-4E53-A10D-76F097AC698F,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=IC&ID=1365443&GUID=165C5DB7-3287-4CB2-9125-340D92A26C27,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=IC&ID=1360148&GUID=A2C4B2A3-EC0D-402D-B98B-200F9FF2436A,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=IC&ID=1372086&GUID=6921CF3C-6B1C-4F0E-B0A1-C9877F1CFBFE,dallas_legistar_downloads/Agenda.pdf
